m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,18.75,0.0,246.22,0.001,0.03425664029366242,0.0,158.84428364305967,0.15096975684151215,success,
125.2,18.75,0.0,246.22,0.001,0.18508549455228093,0.0,158.84511146969993,0.1508996098342932,success,
125.2,18.75,0.0,246.22,0.001,1.0,0.0,158.84719204922914,0.15093183100329657,success,
125.2,18.75,0.0,246.22,0.01,4.938578074285512e-06,0.0,158.77518028053254,0.15083831498666025,success,
125.2,18.75,0.0,246.22,0.01,5.6869778816867104e-05,0.0,158.77518844104998,0.15083168271836775,success,
125.2,18.75,0.0,246.22,0.01,0.0006548791360653526,0.0,158.77528250824327,0.15075940601612797,success,
125.2,18.75,0.0,246.22,0.01,0.0075412053954833445,0.0,158.7763750184181,0.15095175366774102,success,
125.2,18.75,0.0,246.22,0.01,0.08684011397668329,0.0,158.783964368797,0.15081742013971616,success,
125.2,18.75,0.0,246.22,0.01,1.0,0.0,158.81125507090698,0.1508049196546049,success,
125.2,18.75,0.0,246.22,0.1,0.015112330813118026,0.0,,,meta_stable,
125.2,18.75,0.0,246.22,0.1,0.034951447088915795,0.0,117.33463599654584,0.33322256222778696,success,
125.2,18.75,0.0,246.22,0.1,0.08083489361871875,0.0,140.04379892996891,0.19669346090126769,success,
125.2,18.75,0.0,246.22,0.1,0.18695306119161523,0.0,148.38700718705758,0.17508646884927298,success,
125.2,18.75,0.0,246.22,0.1,0.4323806901234319,0.0,151.72589098631673,0.16845181894039116,success,
125.2,18.75,0.0,246.22,0.1,1.0,0.0,153.02552012179487,0.16558910283157313,success,
125.2,32.5,0.0,246.22,1e-05,0.002346706765627672,0.0,158.85109315523968,0.1509508664235839,success,
125.2,32.5,0.0,246.22,1e-05,0.007877112722726634,0.0,158.8510934377514,0.15098669599365405,success,
125.2,32.5,0.0,246.22,1e-05,0.026440842867705115,0.0,158.8510943535146,0.15092622211437848,success,
125.2,32.5,0.0,246.22,1e-05,0.0887530997922136,0.0,158.85109711151844,0.15097038460638512,success,
125.2,32.5,0.0,246.22,1e-05,0.297914584725578,0.0,158.85110423014663,0.1509357126517813,success,
125.2,32.5,0.0,246.22,1e-05,1.0,0.0,158.85111903863506,0.15095127776112913,success,
125.2,32.5,0.0,246.22,0.0001,0.0023345967544396674,0.0,158.85051165352195,0.15096847627221416,success,
125.2,32.5,0.0,246.22,0.0001,0.007844576488437829,0.0,158.85051447672367,0.15089420562583045,success,
125.2,32.5,0.0,246.22,0.0001,0.026358890530421113,0.0,158.85052361150915,0.15094609319778213,success,
125.2,32.5,0.0,246.22,0.0001,0.08856961379862642,0.0,158.85055115170564,0.15094098729884442,success,
125.2,32.5,0.0,246.22,0.0001,0.29760647472564583,0.0,158.85062241050983,0.15098683675449828,success,
125.2,32.5,0.0,246.22,0.0001,1.0,0.0,158.8507706100402,0.15093741223341042,success,
125.2,32.5,0.0,246.22,0.001,0.0022152196442541757,0.0,158.8446804205005,0.15079948111230904,success,
125.2,32.5,0.0,246.22,0.001,0.007522001838122532,0.0,158.844707915682,0.1509604815915831,success,
125.2,32.5,0.0,246.22,0.001,0.025541716280585075,0.0,158.84479801220402,0.15096294299730523,success,
125.2,32.5,0.0,246.22,0.001,0.08672947502506015,0.0,158.84507233270813,0.1508585692956065,success,
125.2,32.5,0.0,246.22,0.001,0.29449868425013404,0.0,158.84578779792236,0.15088467778276018,success,
125.2,32.5,0.0,246.22,0.001,1.0,0.0,158.8472835210884,0.1509029354929984,success,
125.2,32.5,0.0,246.22,0.01,0.0011937487118546407,0.0,158.78459801187955,0.15087467570739577,success,
125.2,32.5,0.0,246.22,0.01,0.004587016821346295,0.0,158.78480128725715,0.15080572123243668,success,
125.2,32.5,0.0,246.22,0.01,0.0176257558314969,0.0,158.78555653272545,0.1507965478365392,success,
125.2,32.5,0.0,246.22,0.01,0.06772751893688629,0.0,158.78815285800476,0.15082067836649235,success,
125.2,32.5,0.0,246.22,0.01,0.2602451131854088,0.0,158.7956045244897,0.15086667168097798,success,
125.2,32.5,0.0,246.22,0.01,1.0,0.0,158.8121234966446,0.1508362249008112,success,
125.2,32.5,0.0,246.22,0.1,0.008209056333398192,0.0,,,meta_stable,
125.2,32.5,0.0,246.22,0.1,0.02145036017023629,0.0,112.27304084523226,1.798280571401199,success,
125.2,32.5,0.0,246.22,0.1,0.05605004189834702,0.0,,,no_transition,
125.2,32.5,0.0,246.22,0.1,0.1464594147545193,0.0,148.64860867426464,0.17854421112480456,success,
125.2,32.5,0.0,246.22,0.1,0.3827001629925434,0.0,151.88121927884566,0.16883978555793164,success,
125.2,32.5,0.0,246.22,0.1,1.0,0.0,153.00269267086523,0.16549729664822885,success,
125.2,46.25,0.0,246.22,1e-05,0.009627167718232908,0.0,158.85109939264424,0.1509892298591443,success,
125.2,46.25,0.0,246.22,1e-05,0.024366818606580992,0.0,158.85109988518917,0.15092287653906572,success,
125.2,46.25,0.0,246.22,1e-05,0.061673574864758295,0.0,158.85110109812575,0.15093913020873648,success,
125.2,46.25,0.0,246.22,1e-05,0.15609874633250903,0.0,158.85110389506144,0.15093373463007653,success,
125.2,46.25,0.0,246.22,1e-05,0.3950933387599809,0.0,158.85110976752148,0.15095071467067528,success,
125.2,46.25,0.0,246.22,1e-05,1.0,0.0,158.85112049967785,0.1509255192552146,success,
125.2,46.25,0.0,246.22,0.0001,0.009602623528248545,0.0,158.85057402302118,0.1509009429624994,success,
125.2,46.25,0.0,246.22,0.0001,0.024317107915081054,0.0,158.8505790082172,0.15092373458928926,success,
125.2,46.25,0.0,246.22,0.0001,0.0615791856896373,0.0,158.8505911345544,0.15094915715806412,success,
125.2,46.25,0.0,246.22,0.0001,0.1559394366896361,0.0,158.8506191162838,0.15093836672980301,success,
125.2,46.25,0.0,246.22,0.0001,0.39489167715923834,0.0,158.85067785313046,0.1509951245403251,success,
125.2,46.25,0.0,246.22,0.0001,1.0,0.0,158.85078523939157,0.15093948041335187,success,
125.2,46.25,0.0,246.22,0.001,0.009358904630099514,0.0,158.8453097212193,0.15091704656219174,success,
125.2,46.25,0.0,246.22,0.001,0.023822098573061848,0.0,158.8453590783833,0.15095274749131576,success,
125.2,46.25,0.0,246.22,0.001,0.060636623927071746,0.0,158.84547969970524,0.15083923466488758,success,
125.2,46.25,0.0,246.22,0.001,0.15434409147441253,0.0,158.84575937977542,0.1509014560287856,success,
125.2,46.25,0.0,246.22,0.001,0.3928665059207931,0.0,158.84634885697594,0.15096086889630905,success,
125.2,46.25,0.0,246.22,0.001,1.0,0.0,158.8474297776761,0.15094275564099377,success,
125.2,46.25,0.0,246.22,0.01,0.007094015818064584,0.0,158.79155705085006,0.1508292086364928,success,
125.2,46.25,0.0,246.22,0.01,0.01908594737434236,0.0,158.79199571996844,0.1508555704925399,success,
125.2,46.25,0.0,246.22,0.01,0.051349390319734095,0.0,158.79313022767164,0.15085987810443743,success,
125.2,46.25,0.0,246.22,0.01,0.13815189964073013,0.0,158.79590694723825,0.15080894145561904,success,
125.2,46.25,0.0,246.22,0.01,0.3716879062341552,0.0,158.8020254042018,0.15084137307607762,success,
125.2,46.25,0.0,246.22,0.01,1.0,0.0,158.81358339499957,0.15082858987090747,success,
125.2,46.25,0.0,246.22,0.1,0.001675144643254187,0.0,,,meta_stable,
125.2,46.25,0.0,246.22,0.1,0.006015086129125224,0.0,123.53347376692307,1.4891096317979167,success,
125.2,46.25,0.0,246.22,0.1,0.021598887765600875,0.0,138.26590626952364,0.7005157848494847,success,
125.2,46.25,0.0,246.22,0.1,0.07755698633343891,0.0,,,error,"NotImplementedError: Two phases have been found to coincide at one end but not the other. Ideally, this function would find where the two diverge, make a cut, and join them such there are no more phase redundancies.
Instead, just raise an exception."
125.2,46.25,0.0,246.22,0.1,0.2784905498099333,0.0,152.02091353303183,0.16824021697535782,success,
125.2,46.25,0.0,246.22,0.1,1.0,0.0,152.87198221897486,0.1650102165025655,success,
125.2,60.0,0.0,246.22,1e-05,0.027271344332623314,0.0,158.85110526853293,0.1509971311662246,success,
125.2,60.0,0.0,246.22,1e-05,0.056048660448635886,0.0,158.85110598630482,0.15101088182291506,success,
125.2,60.0,0.0,246.22,1e-05,0.11519242688482068,0.0,158.85110735736433,0.15093979192499082,success,
125.2,60.0,0.0,246.22,1e-05,0.23674598296198365,0.0,158.85110998838226,0.1509420096428777,success,
125.2,60.0,0.0,246.22,1e-05,0.4865654970936427,0.0,158.85111468418,0.15094279198957836,success,
125.2,60.0,0.0,246.22,1e-05,1.0,0.0,158.8511224049092,0.15083790413209872,success,
