m1,m2,th,v0,lHS,lS,mu3,Tc,xic,Tc_Test,xic_Test,Tn,status,error_msg
125.2,60.0,0.0,246.22,0.2782559402207126,0.068743269228646,0.0,83.47326356470867,2.757202351686797,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.2782559402207126,0.0960674823623474,0.0,102.79142564944628,2.07115334644689,102.79142564944628,2.07115334644689,79.31286832825678,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2782559402207126,0.1342525787760196,0.0,,,,,,no_transition,
125.2,60.0,0.0,246.22,0.2782559402207126,0.1876155642346216,0.0,123.7024311512375,1.0633730294208996,123.7024311512375,1.0633730294208996,123.32101583423095,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.1930697728883249,0.0147664073194793,0.0,83.88458725525383,2.742969577615931,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.1930697728883249,0.0204220744883036,0.0,103.0142323020551,2.0687666904158895,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.1930697728883249,0.0390615866441769,0.0,122.96965776540688,1.4971375289001183,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.1930697728883249,0.0540225265915823,0.0,128.79949072578628,1.3382788321487897,128.79949072578628,1.3382788321487897,122.78515089805124,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.1930697728883249,0.0747136414586294,0.0,133.0738377866299,1.2206297789203417,133.0738377866299,1.2206297789203417,131.50410876673843,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.2231189271057639,0.0,59.78452814132589,4.037468798500721,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.2504084595326243,0.0,74.10943744568866,3.17734410924685,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.2810357571134183,0.0,84.14872336117205,2.7248327636631893,84.14872336117205,2.7248327636631893,56.43973776027843,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.3154090597567142,0.0,92.02646856000985,2.4235273787121305,92.02646856000985,2.4235273787121305,77.21994665736474,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.3539865389316491,0.0,98.52664145771872,2.200175649579025,98.52664145771872,2.200175649579025,90.36064169392338,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.4393970560760795,0.3972824047649774,0.0,104.05194482037787,2.0238056329328793,,,,error,ValueError: The function value at x=1.4003211011660903e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.4393970560760795,0.4458737600932313,0.0,108.84089885150317,1.8786435164988367,108.84089885150317,1.8786435164988367,108.0137464500611,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2154434690031882,0.0282314014399266,0.0,91.78067482900838,2.4407258364994973,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.2154434690031882,0.0440951559475664,0.0,111.77829064960038,1.8068102086498077,111.77829064960038,1.8068102086498077,83.34159859682292,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2154434690031882,0.0688730519516587,0.0,123.47811604972459,1.4811515031390958,123.47811604972459,1.4811515031390958,116.00249881375474,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2154434690031882,0.1075741129201671,0.0,131.02888787174732,1.1395711827080799,131.02888787174732,1.1395711827080799,130.55258118771738,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.4641588833612772,0.2306954846308584,0.0,,,,,,no_transition,
125.2,60.0,0.0,246.22,0.4641588833612772,0.2715266917152852,0.0,66.4727229826415,3.5951668715811635,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.4641588833612772,0.3761485535802796,0.0,,,,,,no_transition,
125.2,60.0,0.0,246.22,0.4641588833612772,0.4427237598974717,0.0,102.27244136460499,2.0783810653266506,,,,error,ValueError: The function value at x=1.3702549711677884e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.4641588833612772,0.5210822312411787,0.0,109.82445682862877,0.983210714417155,109.82445682862877,0.983210714417155,109.54004043265132,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.1373823795883264,0.0041659015485923,0.0,137.4958733023798,1.1034367414964346,,,,error,ValueError: The function value at x=2.759634262782638e+307 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.2043359717856943,0.0410488668572264,0.0,117.14938119250037,1.6561370531384885,117.14938119250037,1.6561370531384885,96.17657664115669,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.3039195382313201,0.1306501983427842,0.0,103.16130443740784,2.0582798474517263,103.16130443740784,2.0582798474517263,86.21713013952233,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.452035365636025,0.3155022447327527,0.0,86.96703988816127,2.612165933693262,86.96703988816127,2.612165933693262,66.42713104952072,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.452035365636025,0.4634486652061637,0.0,107.3515151890232,1.92251635121481,107.3515151890232,1.92251635121481,106.11831558464662,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.6723357536499335,0.6754085482749848,0.0,61.96440580325292,3.8818235109637196,5.185195277729615,0.0,5.185195277729615,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.6723357536499335,0.7697996370131341,0.0,77.09293874416092,3.0291110033543225,77.09293874416092,3.0291110033543225,60.695767373936896,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.6723357536499335,0.8773822639039008,0.0,87.69066335325667,2.5791720364641044,87.69066335325667,2.5791720364641044,81.10375279087523,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.6723357536499335,1.0,0.0,95.98008010888891,2.2788405026152736,,,,error,ValueError: The function value at x=1.2342072228072463e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.3162277660168379,0.0754017798305583,0.0,,,,,,meta_stable,
125.2,60.0,0.0,246.22,0.3162277660168379,0.0976435223578991,0.0,76.92535043954892,3.0437547151802824,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3162277660168379,0.1264460531287559,0.0,,,,,,no_transition,
125.2,60.0,0.0,246.22,0.3162277660168379,0.1637446495757918,0.0,107.20053092891042,1.934435946553582,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3162277660168379,0.212045450223715,0.0,115.99322421802228,1.6798022335533218,115.99322421802228,1.6798022335533218,113.31669655884045,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.1623776739188721,0.0068569556241709,0.0,103.93308920719645,2.042106081491942,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.1623776739188721,0.0127824741025305,0.0,123.4926851072237,1.4857696618316434,,,,error,ValueError: The function value at x=2.1038027652899523e+307 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.1623776739188721,0.0238285987451786,0.0,133.11218000203604,1.2233518440891518,,,,error,KeyError: np.float64(143.56556930063007)
125.2,60.0,0.0,246.22,0.1623776739188721,0.0444203613169315,0.0,138.1331001667085,1.08151189049379,138.1331001667085,1.08151189049379,136.56971560980782,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2976351441631319,0.0842881277105748,0.0,81.37494971903259,2.8448021688531466,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.2976351441631319,0.1148274197658596,0.0,100.41402060473281,2.145283146206297,100.41402060473281,2.145283146206297,77.42210607873935,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2976351441631319,0.1564317145038528,0.0,112.6219810932056,1.7769237236920707,112.6219810932056,1.7769237236920707,105.72382242650774,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2976351441631319,0.2131100860100539,0.0,121.42277071875867,1.1639967579317925,121.42277071875867,1.1639967579317925,120.98935250697178,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.5455594781168515,0.3522467934152463,0.0,,,,,,meta_stable,
125.2,60.0,0.0,246.22,0.5455594781168515,0.395546345419264,0.0,59.781729628530066,4.036595650556931,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.5455594781168515,0.4441684475182614,0.0,74.2032334551291,3.170762131044415,74.2032334551291,3.170762131044415,39.95930828124379,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.5455594781168515,0.4987673683640468,0.0,84.34063587403733,2.7143961781879513,84.34063587403733,2.7143961781879513,68.64750116247906,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.5455594781168515,0.5600778018672047,0.0,92.30390772372427,2.4102910191420612,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.5455594781168515,0.6289247533841104,0.0,98.8872268182852,2.18445722157487,,,,error,ValueError: The function value at x=1.3032683231738178e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.5455594781168515,0.7062346411526744,0.0,105.0417437176623,1.0410449417617986,105.0417437176623,1.0410449417617986,104.74243372909733,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0031218228510924,0.0,111.20474682995571,1.827838798493228,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0064210673221382,0.0,129.63922687705994,1.3205278113170305,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0132070612337929,0.0,137.3378948431301,1.106602035218535,137.3378948431301,1.106602035218535,125.91440682210376,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0271647154098162,0.0,140.61302973054944,1.0109952990082363,140.61302973054944,1.0109952990082363,138.48467311037547,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2371373705661655,0.0404608161934267,0.0,88.55160997630546,2.558542255389127,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.2371373705661655,0.0604164647932995,0.0,,,,,,no_transition,
125.2,60.0,0.0,246.22,0.3831186849557293,0.1687955445767136,0.0,73.2943971224634,3.2195342617916336,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.2108341011210571,0.0,90.92549047174128,2.465320677175857,90.92549047174128,2.465320677175857,67.42358492136404,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.2633423666897926,0.0,102.7691325955271,2.0664648559709344,102.7691325955271,2.0664648559709344,94.51561161718851,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.3289278239385104,0.0,111.63118691283331,1.799914399770616,111.63118691283331,1.799914399770616,110.00113977126416,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.5244832184220388,0.0,53.47692743981021,4.544199585661427,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.568545396328028,0.0,66.18609911895314,3.6106284407296196,,,,timeout,exceeded 30s
125.2,60.0,0.0,246.22,0.618965818891261,0.6163092665925642,0.0,75.21152647204187,3.1198882816374427,75.21152647204187,3.1198882816374427,52.402549124641816,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.6680858108095798,0.0,82.39854163089679,2.7935992261417697,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.7242121363399255,0.0,88.42365145662365,2.5519770415605176,88.42365145662365,2.5519770415605176,80.51521847337995,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.785053671154122,0.0,93.62829614987871,2.3614149499381107,93.62829614987871,2.3614149499381107,89.47546246664022,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.8510065430652842,0.0,98.21263100405012,2.204760998672399,,,,error,ValueError: The function value at x=1.2689057799186885e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.3831186849557293,0.1559079157167586,0.0,63.91371430698769,3.755650033431966,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.1798685484206663,0.0,79.27020538532756,2.9347120055565257,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.2075115593856917,0.0,89.91264191910825,2.502542805679741,89.91264191910825,2.502542805679741,64.37927320118798,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.2394028731358454,0.0,98.15678918367212,2.2147276023846123,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.2761953880321984,0.0,104.86910081576751,2.0013619387650823,104.86910081576751,2.0013619387650823,98.40407661942342,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.3831186849557293,0.3186423428050113,0.0,110.49830681481167,1.8329078719074219,110.49830681481167,1.8329078719074219,108.1301253189323,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.5095884952976502,0.0,46.89890106635931,5.209480896781475,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.5367118482491764,0.0,57.72036386712137,4.190905381261647,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.5652788685560721,0.0,65.4374963575147,3.6565223086763554,,,,timeout,exceeded 30s
125.2,60.0,0.0,246.22,0.618965818891261,0.5953663968448146,0.0,71.6297809375544,3.3020831386873053,71.6297809375544,3.3020831386873053,41.9250853363162,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.6270553636604178,0.0,76.87520430270477,3.0400444212697693,76.87520430270477,3.0400444212697693,56.65006030066747,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.6604310071564016,0.0,81.45366758579864,2.833901043012707,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.6955831023715262,0.0,85.53038532457211,2.6648693919404964,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.7326062027100074,0.0,89.21167035933374,2.5221441998560037,89.21167035933374,2.5221441998560037,81.91879696519351,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.7715998942747561,0.0,92.57067856024959,2.3989538205895347,92.57067856024959,2.3989538205895347,87.7085238690016,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.8126690637377565,0.0,95.66026388081812,2.2908123747677536,95.66026388081812,2.2908123747677536,92.80953111470404,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.618965818891261,0.8559241804681109,0.0,98.52005020154056,2.1945782843755155,,,,error,ValueError: The function value at x=1.2711895652223141e+308 is NaN; solver cannot continue.
125.2,60.0,0.0,246.22,0.618965818891261,0.9014815936766298,0.0,101.83060127550353,1.0192416126447985,101.83060127550353,1.0192416126447985,101.55246454075257,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2371373705661655,0.0902144237691628,0.0,120.35584557985398,1.5647476533176017,120.35584557985398,1.5647476533176017,113.28177992117496,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.2371373705661655,0.1347090115889187,0.0,128.4810559853536,1.0241866485713815,128.4810559853536,1.0241866485713815,128.1021922809411,Nucleation_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0024129675468604,0.0,98.04296901163188,2.2292983863754463,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0060986803104115,0.0,128.81458939972188,1.3429611451312033,,,,Trapped_FOPT,
125.2,60.0,0.0,246.22,0.146779926762207,0.0096956752851361,0.0,134.8069663253118,1.1781787207351129,134.8069663253118,1.1781787207351129,113.33943385400502,Nucleation_FOPT,
